Tm,From,To,W,L,T,W-L%,AV,Passer,Rusher,Receiver,Coaching,Yr plyf,W plyf,L plyf,W-L%,Chmp,SBwl,Conf,Div
Arizona Cardinals,1920,2020,561,765,41,0.423,Wehrli,Hart,Anderson,Fitzgerald,Arians,10,7,9,0.438,2,0,1,8
Atlanta Falcons,1966,2020,365,466,6,0.439,Ryan,Ryan,Riggs,Jones,Smith,14,10,14,0.417,0,0,2,7
Baltimore Ravens,1996,2020,218,170,1,0.562,Lewis,Flacco,Lewis,Mason,Harbaugh,12,15,10,0.6,2,2,2,6
Buffalo Bills,1960,2020,429,484,8,0.47,Smith,Kelly,Thomas,Reed,Levy,19,14,17,0.452,2,0,4,12
Carolina Panthers,1995,2020,198,206,1,0.49,Newton,Newton,Stewart,Smith,Rivera,8,9,8,0.529,0,0,2,7
Chicago Bears,1920,2020,773,592,42,0.566,Payton,Cutler,Payton,Morris,Halas,26,17,19,0.472,9,1,2,24
Cincinnati Bengals,1968,2020,360,444,5,0.448,Munoz,Anderson,Dillon,Johnson,Lewis,14,5,14,0.263,0,0,2,10
Cleveland Browns,1946,2020,526,505,14,0.51,Schafrath,Sipe,Brown,Newsome,Brown,28,16,20,0.444,8,0,0,23
Dallas Cowboys,1960,2020,522,391,6,0.572,Smith,Romo,Smith,Witten,Landry,33,35,28,0.556,5,5,8,25
Denver Broncos,1960,2020,484,426,10,0.532,Elway,Elway,Davis,Smith,Shanahan,22,23,19,0.548,3,3,8,15
Detroit Lions,1930,2020,563,673,33,0.456,Sanders,Stafford,Sanders,Johnson,Fontes,17,7,13,0.35,4,0,0,8
Green Bay Packers,1921,2020,760,574,38,0.569,Favre,Favre,Green,Driver,Lambeau,33,35,23,0.603,13,4,5,30
Houston Texans,2002,2020,132,161,0,0.451,Johnson,Schaub,Foster,Johnson,Kubiak,6,4,6,0.4,0,0,0,6
Indianapolis Colts,1953,2020,526,470,7,0.528,Manning,Manning,James,Harrison,Dungy,28,23,24,0.489,4,2,4,21
Jacksonville Jaguars,1995,2020,177,228,0,0.437,Smith,Brunell,Taylor,Smith,Coughlin,7,7,7,0.5,0,0,0,3
Kansas City Chiefs,1960,2020,485,424,12,0.533,Tyrer,Dawson,Charles,Gonzalez,Stram,22,13,19,0.406,3,2,3,14
Los Angeles Chargers,1960,2020,453,457,11,0.498,Rivers,Rivers,Tomlinson,Gates,Gillman,19,12,18,0.4,1,0,1,15
Los Angeles Rams,1937,2020,581,570,21,0.505,Olsen,Everett,Jackson,Bruce,Robinson,29,21,26,0.447,3,1,4,20
Miami Dolphins,1966,2020,459,374,4,0.551,Marino,Marino,Csonka,Duper,Shula,23,20,21,0.488,2,2,5,14
Minnesota Vikings,1961,2020,489,407,11,0.546,Tingelhoff,Tarkenton,Peterson,Carter,Grant,30,21,30,0.412,0,0,4,20
