Rk,Franchise,From,To,G,W,L,W-L%,G>.500,Divs,Pnnts,WS,Playoffs,Players,HOF#,R,AB,H,HR,BA,RA,ERA,League
1,Arizona Diamondbacks,1998,2020,"3,624","1,788","1,836",0.493,-48,5,1,1,6,499,2,"16,492","123,973","31,804","3,851",0.257,"16,608",4.22,NL
2,Atlanta Braves,1876,2020,"21,570","10,732","10,684",0.501,48,20,17,3,26,2024,53,"96,095","738,734","192,010","14,003",0.26,"95,224",3.67,NL
3,Baltimore Orioles,1901,2020,"18,666","8,793","9,763",0.474,-970,9,7,3,14,1865,34,"80,495","634,197","163,983","13,595",0.259,"85,779",4.04,AL
4,Boston Red Sox,1901,2020,"18,653","9,626","8,944",0.518,682,10,14,9,24,1821,37,"87,054","638,406","170,591","13,793",0.267,"83,499",3.91,AL
5,Chicago Cubs,1876,2020,"21,607","11,016","10,430",0.514,586,8,17,3,21,2107,45,"99,513","739,895","194,194","14,449",0.262,"95,943",3.68,NL
6,Chicago White Sox,1901,2020,"18,661","9,318","9,240",0.502,78,5,6,3,10,1794,32,"81,292","632,052","164,537","11,606",0.26,"81,011",3.78,AL
7,Cincinnati Reds,1882,2020,"21,191","10,630","10,422",0.505,208,10,10,5,16,2024,36,"95,083","722,516","188,692","13,522",0.261,"94,173",3.75,NL
8,Cleveland Indians,1901,2020,"18,665","9,512","9,062",0.512,450,10,6,2,15,1912,34,"84,546","636,580","168,986","13,228",0.265,"82,414",3.83,AL
9,Colorado Rockies,1993,2020,"4,373","2,059","2,314",0.471,-255,0,1,0,5,584,1,"22,071","150,606","41,243","5,013",0.274,"23,104",4.98,NL
10,Detroit Tigers,1901,2020,"18,688","9,369","9,226",0.504,143,7,11,4,16,1710,24,"86,165","637,752","169,126","13,904",0.265,"85,685",4,AL
11,Houston Astros,1962,2020,"9,332","4,630","4,697",0.496,-67,10,3,1,14,916,10,"39,399","316,587","80,621","7,534",0.255,"39,337",3.81,AL
12,Kansas City Royals,1969,2020,"8,185","3,927","4,256",0.48,-329,8,4,2,9,913,4,"35,936","280,454","74,037","6,338",0.264,"37,729",4.24,AL
13,Los Angeles Angels,1961,2020,"9,491","4,735","4,753",0.499,-18,9,1,1,10,1091,12,"41,164","322,333","82,905","8,373",0.257,"41,444",3.98,AL
14,Los Angeles Dodgers,1884,2020,"20,991","11,017","9,835",0.528,1182,19,24,6,34,1855,50,"94,224","715,301","187,044","13,124",0.261,"89,007",3.53,NL
15,Miami Marlins,1993,2020,"4,364","2,021","2,343",0.463,-322,0,2,2,3,605,5,"18,580","148,595","38,156","3,946",0.257,"20,310",4.31,NL
